
> jingxin@0.1.0 corpus:gen
> tsx scripts/gen-corpus.ts --resume

Generated B31n0170: juans=3 blocks=6551
Generated B32n0171: juans=2 blocks=302
Generated B32n0172: juans=2 blocks=171
Generated B32n0173: juans=30 blocks=1322
Generated B32n0174: juans=8 blocks=811
Generated B32n0175: juans=2 blocks=97
Generated B32n0176: juans=3 blocks=536
Generated B32n0177: juans=5 blocks=377
Generated B32n0178: juans=1 blocks=21
Generated B32n0179: juans=1 blocks=10
Generated B32n0180: juans=1 blocks=4
Generated B32n0181: juans=1 blocks=12
Generated B32n0182: juans=1 blocks=13
Generated B32n0183: juans=2 blocks=79
Generated B32n0184: juans=2 blocks=192
Generated B32n0185: juans=3 blocks=421
Generated B32n0186: juans=3 blocks=34
Generated B32n0187: juans=1 blocks=86
Generated B32n0189: juans=1 blocks=97
Generated B32n0190: juans=1 blocks=7
Generated B32n0191: juans=1 blocks=54
Generated B33n0192: juans=45 blocks=2687
Generated B34n0193: juans=30 blocks=6115
Generated B35n0194: juans=8 blocks=1645
Generated B35n0195: juans=1 blocks=223
Generated B35n0196: juans=1 blocks=11
Generated B36n0197: juans=1 blocks=2040
Generated B36n0198: juans=18 blocks=5174
Generated C056n1159: juans=8 blocks=249
Generated C056n1163: juans=15 blocks=5744
Generated C057n1163: juans=10 blocks=3472
Generated C059n1169: juans=3 blocks=5778
Generated C071n1665: juans=5 blocks=53
Generated C071n1666: juans=1 blocks=1
Generated C073n1679: juans=2 blocks=218
Generated C073n1680: juans=1 blocks=108
Generated C077n1710: juans=47 blocks=3548
Generated C078n1720: juans=21 blocks=8384
Generated C097n1821: juans=4 blocks=1644
Generated CC001n0001: juans=6 blocks=247
Generated CC002n0002: juans=1 blocks=189
Generated CC003n0003: juans=6 blocks=809
Generated CC004n0004: juans=10 blocks=1216
Generated CC005n0005: juans=1 blocks=64
Generated CC006n0006: juans=1 blocks=106
Generated D01n8679: juans=1 blocks=12
Generated D02n8680: juans=1 blocks=36
Progress 200/4602 blocks=198907 skipped=0 errors=0
Generated D03n8701: juans=1 blocks=24
Generated D04n8724: juans=1 blocks=25
Generated D05n8774: juans=1 blocks=146
Generated D06n8775: juans=1 blocks=63
Generated D07n8779: juans=1 blocks=10
Generated D08n8780: juans=1 blocks=49
Generated D09n8790: juans=1 blocks=3
Generated D10n8814: juans=1 blocks=48
Generated D11n8817: juans=1 blocks=16
Generated D12n8820: juans=1 blocks=3
Generated D13n8838: juans=1 blocks=450
Generated D14n8842: juans=1 blocks=52
Generated D15n8853: juans=8 blocks=2181
Generated D16n8859: juans=10 blocks=157
Generated D17n8862: juans=10 blocks=4788
Generated D18n8863: juans=16 blocks=2319
Generated D19n8864: juans=3 blocks=179
Generated D20n8869: juans=1 blocks=96
Generated D21n8871: juans=1 blocks=132
Generated D22n8874: juans=1 blocks=183
Generated D23n8879: juans=10 blocks=4004
Generated D24n8880: juans=1 blocks=154
Generated D25n8881: juans=2 blocks=397
Generated D26n8882: juans=1 blocks=88
Generated D27n8883: juans=6 blocks=702
Generated D28n8885: juans=6 blocks=564
